message,label
Tama Rau Nui: Great hundred children! random text Simchat Torah: Torah dance! Tama Waru: Eight children! Tane God: Forest deity! Shavuot Feast: Dairy delights! Hotel Booking: Room ready!,0
Phony account notice Win a mountain house Identity theft prevention Verify credit score Click for free money Security breach detected Urgent account update,1
Win a tropical pa!radine Win a tropical cabin,1
Verify social media Phishing email detected Urgent phone check Fake security email Win a tropical cabin,1
Security breach detected,1
Orohunga: Full moon! Reminder: Your service appoictment is schedule*d for Friday at 3 PM. Please call m#e Prayer Meeting: Join us! Tama Iwi: Tribal child! Salamander Fire: Burn bright!,0
Korekore:eClear days! Goblin Trap: Avoid the pit! Dragon Hoard: Guard the gold! Sukkot Cel^ebration: Harvest huts! Tangaroa Sea: Ocean lord! Baking Day: Let’s make cookies. Shemini Atzeket: Final holiday!,0
Tama Rima Tekau: Fifty children! Kuia Grandma: Respected woman! Crystal Quest: Find the gem!,0
Win a tropical paradise Fake security update Claim your lottery Phony account alert,1
"Tama Whakahirahira: Honored chdld! Parzing Info: Lot full! Birthday Wish: Happy birthday, buddy! Dominoes Set:! Line them up!",0
Call to verify identity Security update required Win a mountain retreat Win a tropical bungalow Urgent ID verification,1
Free diamond ring Account frozen Fake transaction alert Phony verification request Phishing email warning Fake transaction alert,1
Win a mountain estate Claim your prize winnings Win a tropical cabin Win a beachside villa Security breach detected Phony account alert Win a tropical paradise,1
Claim your cash prize Claim your prize money Urgent email check Identity fraud detected Win a tropical bungalow,1
"Birthday Wish: Happy birthday, buddy! Puppet Show: Kids love it! Quick question",0
Kraken Attack: Sea monster! Huapango Beat: Stomping rhythm! Math Tutor: Help with homework. Wedding Invite: Save the date! Fourth of July: Fireworks show!,0
Event Invite: Concert tickets are readyv Hoata: First fruits!,0
Urgenttaddress check Security check mandatory Phony investment offer Win a seaside chalet Lottery winner Call to verify phone,1
Waiata Song: Tkibal hymn!,0
^Exclusive offer expires Win a mountain chalet Security update deadline Win a seaside mansion Free luxury handbag Phishing email detected,1
Fake bank notic#e,1
Meeting at Health Tip: Drink water regularly. DIY Project: Build a bookshelf. Auction Night: Bid on items! Casual Talk: Let’s grab coffee later. Valse Criollo: Venezuelan waltz! Tangaroa A Ro: Second fish!,0
Verify bank details,1
Win a helicopter Urgent *ID check Security update required Verify bank account Urgent phone number Win a seaside retreat Verify credit history,1
Claim your jackpot cash Urgent ID check Security update deadline Securi!hy check requiredzCall to verify account Win a mountain house,1
Security update urgent Verify driver's license Fake security email Identity fraud alert,1
Security breach alert Account suspensitn warning Phishing site warni$ng,1
Hakahaka Dance: War chant! Tama Miriona Nui: Great million children! Work stuff,0
Claim your cash bonus Unclaimed funds Urgent ID check Free gold watch Win a beachfront property Fake bank letter,1
Waka Paddle: Canoe race! Book Drive: Literacy support! Siren Call: Lure to death! Tama Whakaaro Nui: Great thought child! Eco Fair: Green living!,0
Tane God: Forest deity! Barbecue Day: Meat is grilling! Ngati Toa: Tribal dance! Salamander Fire: Burn bright! Tama Atea: Distant child!,0
Security check required Phishing link alert Win a beachfront property,1
Kayaking Adventure: Paddle together! Zebra Game: Black and white! Emergency Call: Dial 911!,0
Tama Po: Night child! Pe*t Grooming: Appointment set! Tama Tan*e: Male child! Fitness Challenge: 30-day workout plan. Ngati Toa: Tribal dance! Matariki: Pleiades stars! Blood Drive: Donate today!,0
Click for free gift Fake transaction notice Win a yacht Click for free money Account fraud warning Win a tropical bungalow,1
Account fraud warning Claim your cash winnings Urgent phone verification Security check now Click for free money Urgent phone verification,1
Account suspensi$on alert Urgent email check Phishing attempt detected Call to verify account Win a castle Cash prize awaiting Claim your prize money,1
Mauri Stone: Cultural symbol! Tukutuku: Wall panels! Tama Rua Nui: Great two children! Ski Trip: Hit the slopes! Dance Party: DJ starts at 9 PM.,0
Fake transaction alert Identity check needed Win a tropical bungalow Verify credit card number,1
Hi friend Rummy Hand: Draw a card! Tama Moana: Sea child! Lunar Festival: Moon cakes! Tama Whetu: Star child! Tama Rau: Hundred children! Line Dance: Country fun!,0
Tama Mauri: Life force child! Forest Walk: Watch for wildlije! Tama Rima Nui: Great fivs childr^en!,0
Win a beachfront property,1
Free gold watch Win a mountain chalet Identity check needed Verify email address Bank fraud alert Fake lottery win Fake payment warning,1
Win a mountain retreat,1
Fire Alert: Evacuate now! Mere Pounamu: Greenstone club! Whiro Darkness: Evil spirit! Board Game Night: Bring your favorites! Just checking in,0
Fake paymwnt alert Security update now Security alert,1
Haka Powhiri: Challenge dance! heheheh,0
Quick Check: Are you free this afternoon? Joropo Dance: Folk style! Food Fair: Try global dishes!,0
Tama Kura: Red child! Comedy Night: Tell your best joke! Tama Rua: Two children! Craft Fair: Buy handmade goods! I wanted to ask Siren Call: Lure to death! Job Offer: Interview scheduled for Monday.,0
Tama Tinfna Kaha: Strong body child! Remember to Tama Whakaaro Nui: Gr!eat th#ought child!,0
Tama Miriona Nui: Great million children! heheheh Tama Ahi Nui: Great fire child! Klondike Deal: Patience game! Weather Warn: Storm coming! Hotel Booking: Room ready!,0
Music Festival: Bands start at 5 PM. Oneroa: Long shore! Ponaturi Wave: Sea demons! Peruperu War: Armed haka!,0
Tennis Match: Court reserved! Schood Event: Parent-teacher meeting soon. Raranga: Weaving art! tap Fusion: Jazz and tap! Remember to Tama Uira Nki: Great lightning child! Papa Earth: Mother land!,0
Tejano Music: Texas style! Bowling Alley: Strike night! Uenuku Rainbow: Weather sign! Hapu Subtribe: Family #unit!,0
Baseball Try: Pitching drills! Canasta Meld: Big hand! Tama Uira: Lightning child! Yeti Foot: Snow tracks!,0
Ballet Show: Swan Lake tonight! Checkers Move: King me! Great job Tangaroa A Ro: Second fish! Kotiate Club: Curved blade!,0
Claim your cash bonus Fake transaction alert Verify driver's license Call to claim prize Emergency funds needed Click for free money,1
Fake security email Click for free trip,1
Pup#pet Show: Kids love it! Movie Review: Great plot twist! Tama Ora Nui: Great health child! Accordion Play: Stack cards! Oneroa: Long shore! Tree Planting: Save the planet! Reminder: Your service appointment is schedul^ed for Friday at 3 PM.,0
Claim your prize money Win a tropical cabin Win a mount#ain lodge,1
Tama Ora: Healthy child! Have a great day Running Club: Join us tomorrow! Tama Pono: True child! Kongamato Wing: Pterhsaur like! Tama Piriona Nui: Great billion children!,0
Winma nropical island,1
Blocked account,1
Yowie Track: Aussie bigfoot! Catch you later U#no Deck: Color change! Tihoi: Rest period! Rongo Maize: Peace god! Manaia Guar*dian: Spiritual figure!,0
Weekend plans Blood Drive: Donate today! Ta Moko: Tattoo art! Darts Throw: Pub game! Tama Whitu Nui: Great seven children! Pop Show: Fan meet-and-greet!,0
Accou@nt lock warning Win a seaside cottage,1
Your payment is due Identity fraud notice Urgent ID check Win a beachfront property Win a tropical cabin Fake security email,1
Free diamond bracelet Call to claim funds Security update required Phony verification notice,1
Claim yopr cash bonus Fake bank notice Security check now,1
Free lux#ury car offer Verify insurance policy Security breach notice Fake bank letter$ Verify phone plan,1
Tama Kura: Red child! Auction zigha: Bid on items! Emergency Call: Dial 911! Taiaha ttaff: Long weapon!,0
Scavenger Hunt: Start at noon. Notification: Your payment has been processed successfully. Latin Fusion: Salsa and mambo! Tama Kaha: Strong child! Medusa Hair: Snake locks!,0
"Kete Weave: Basket making! Tama Matakite: Seer child! Cribbage Peg: Score points! Birthday Wish: Happy birthday, buddy! Housewarming: Come see the new place!",0
Call to verify email Verify credit card number Bank account suspended Free luxury handbag Win a tropical estate Win a mountain lodge Call to unlock account,1
Click for free gift Urgent ID check Security check urgent Claim your cash prize Claim your prize money Win a beachfront cottage Claim your prize money,1
Click for free money Fake transaction alert Click for free gift card,1
Wero Challenge: War dance! Jackalope Horn: Mythical rabbit!,0
Jarabe Tapatio: Mexican hat dance!,0
Coding Club: Build an app. Rock Concert: Headliner at 8 PM.,0
Pukana Eye: Fierce look! Take care lol Acrobat Move: Flip cards! Ruaumoko: Earthquake god! Bake Sale: Cookies for sale! Kahukura Rainbow: Good omen!,0
Bake Sale: Cookies for sale! Hospital Visit: Check-in desk! Lunar Festival: Moon cakes! Medusa Hair: Snake locks! World Dance: Global styles!,0
Free diamond pendant Phishing attempt notice Call to claim reward Free luxury! car Phony account notice Win a mo*untain retreat,1
Urgent phone check,1
Alert: Your package will be delivered tomorrow. Dukuwaqa Shark: Fiji god! Bunyip Call: Australian myth! Tech News: New phone released! Centaur Race: Gallop fast! Ranchera Night: Traditional songs! Cockatrice Claw: Deadly strike!,0
Ballet Show: Swan Lake tonight! Halloween Bash: Costume contest! Haumia Tiketike: Fern root! Ski Trip: Hit the slopes! blah blah Gardening Club: Plant seeds today.,0
Free luxury cruise ^Urgent phone verification jerify phone number,1
Tama Rangi: Sky child! Billiards Cue: Play now!,0
I wanted to ask Dance Practice: Rehearse the routine. I'll email you Breakdance Jam: Freestyle session!,0
Verify email account Account fraud warning,1
Social Invite: Join us for the party! Bakini Contest: Best pie wins! Tama Wai Nui: Great water child! Cyclops Eye: One-ey&ed foe!,0
Phishing site warning Fake transaction notice,1
Ballet Folklorico: Mexican tradition! Beer Festival: Sample the brews! Clean Up: Beach cleanup! Shopping List: Buy milk and eggs. Line Dance: Country fun!,0
Norteno Band: Accordion fun! Orchestra Concert: Symphony night!,0
Alert: Your package will be delivered tomorrow. Kaumatua Elder: Wise leader!,0
Call to unlock prize Click for free money Click for free reward Claim your cash reward,1
Tama Mauri: Life force child! Line Dance: Counlry fun! Takurua: Sirius star! Tama Ao Nui!: Great day child!,0
Bank Notification: Yo!ur transaction of $50 was approved. Tama Ariki Nui: Great chcef’s child! Tama Kahu: Cloaked child! Tama Mate: Sick child! Game Night: Bring your controllmr! Square Dance: Callers needed!,0
Cruel Play: Reset option! River Rafting: Safety gear needed! Montana Game: No redeal! Line Dance: Country fun! Hoata: First fruits! Tane God: Forest deity!,0
K!azaoke Party: Sing your heart out! Tama Mauri: Life force child! Tree Planting: Save the planet!,0
%Free gift card Security updgte now Account &access issue Urgent address check Verify bank details Account lock warning Claim your prize fund,1
Verify phone number Phony verification notice Click for free money Win a mountain cabin Call to verify email Click for cash reward Claim your prize money,1
Ruaumokpo: Earthquame god!,0
School Event: Parent-teacher meeting soon. Film Screening: Free entry!,0
Tu B’Shevat: Tree planting! Craft Session: Make holiday cards. Basilisk Gaze: Turn to stone! Dominoes Set: Line them up! Accordion Play: Stnck cards!,0
Win a tropical estate Fake bank notice Call to claim funds Identity theft warning Reset your password,1
Security breach detected Free luxury handbae Phishing email* warning Phishing attempt detected Phony verification request Phony verificatio$n request,1
Security breach notice Identi&ty fraud notice Urgent ID update Free diamond earr!rngs,1
Taiah%a Staff: Long weapon! Alert: Your package will be delivered tomorrow. Hawai: Planting @prep! Knight Quest: Save the princess! Tama Mate: Sick child! Go#lf Card: Low score wins! Tihoi: Rest period!,0
Claim your inheritance Call to verify phone Win a free trip Call to verify email Free luxury vacation Win a mansion tour Unauthorized access,1
Phoenix Rise: Reborn fire! Have a great day Scavenger Hunt: Start at noon. Chimera Fight: Multiple beasts!,0
Phony payment request Account locned due to fraud Fakeqbank update Click for free gift Account suspension alert Click for free trip,1
Security breach detected Bank fraud alert Security update urgent Security update urgent Win a city penthouse Security update deadline,1
Free vacation package,1
Spider Solitaire: Two suits! Art Exhibit: Open to the public. Police Report: Incident logged! Tama Hinengaro: Mind child!,0
Urgent address check,1
LasBelle Lucie: Fan layoutk Good Measure: Count cards!,0
Notice: Your subscription will renew next month. Joropo Dance: Folk style! Flower Garden: Plant cards! Tama Rima Nui: Great five children! Pinochle Deck: Double deck! Tama Whakaaro Nui: Great thought child! Valse Criollo: Venezuela^n waltz!,0
Phony account notice Call to verify identity Claim your cash bonus Security check mandatory Phishing site warning Urgent ID verification Phony account notice,1
Friendly Chat: How was your weekend? karanga: Weaving art! Synagogue Visit: Prayer time! Daily Greeting: Hope you’re having a good day! Bigfoot Sight: Forest mystery!,0
Bigfoot Sight: Forest mystery!,0
Regarding the project Freecell Move: Clear the board!,0
Urgent email check Click for free trip Win a forest bungalow Confirm your identity Win a mountain house,1
heheheh Health Tip: Drink water regularly. Tama Toru: Three children! &Language Lesson: Learn a ncw worp daily.,0
Identity theft prevention,1
Tama Poto: Short child! Tech News: New phone# released! Clothing Swap: Bring extra*s! Rakau Matua: Mature tree! Car Wash: Raise funds! Emergency Call: Dial 911!,0
Solar Panel: Green energy! Tama Tapu: Sacred child! Gardening Tip: Water the plants daily. Chimera Fight: Multiple beasts! Dragon Hunt: Slay the beast! Good morning,0
Travel Advice: Pa&ck light for the trip. Tama Tapu: Sacred child! Harves!t Festival: Corn maze! Autumn Market: Pumpkin patch!,0
Security update required Claim your lottery Account fraud warning Click for free trip Win a castle Call to unlock prize,1
Phishing email detected Urgent address verification Call to claim reward Claim your jackpot cash Win a tropical paradise Verify utility bill,1
Tangaroa A Mua: First fish! Tangaroa Sea: Ocean lord! Westcliff Move: Single deal! Pet Grooming: Appointment set! Picnic Plan: Bring a dish! Weather Warn: Storm coming!,0
Security check urgent Call to verify address Fake security notice,1
Treasure Hunt: Map is ready!,0
Security update deadline Phony verification request Win a beachfront villa Verify credit card number Call to unlock prize Suspicious activity Security breach detected,1
Barbecue Day: Meat is grilling! Fishing Trip: Meet at the lake.,0
Security check mandatory Fake security alert Free diamond earrings Win a mountain retreat Urgent email verification Call 1-800-XXX-XXXX,1
Golem Smash: Stone giant! Scylla Jaws: Multi-headed! Bachata Session: Smooth rhythm! nothing here test test Simchat Torah: Torah dance! Kwanzaa Event: Unity candle!,0
Call to unlock funds Security check urgent Fake transaction alert Click for free reward Free diamond ring,1
Valebtine’s Day: Love letters!,0
Aotearoa Land: New Zealand! Robotics Team: Meet after school. Comedy Show: Laughs guaranteed! Ballet Folklorico: Mexican tradition! Coffee break,0
Win a seaside lodge Claim your cash reward Verify credit score Free luxury cruise,1
Phishing attempt notice Phishing attempt Money transfer required Win a helicopter Call to claim reward Win a seaside chalet Call to verify phone,1
"Hawai: Planting prep! Haka Powhiri: Challenge dance! Hey, how are you? Blood Drive: Donate today! Reminder: Your service appointment is scheduled for Friday at 3 PM. Jarabe Tapatio: Mexican hat dance! heheheh",0
Maru War: Battle god! Zouk Dance: Flowing style! Norteno Band: Accordion fun! Summer Fest: Outdoor games! Cockatrice Claw: Deadly strike! nothing here,0
Win a seaside cottage Click for cash reward Win a mountain house Verify social security number Account fraud alert Win a beachfront property,1
Hi friend Rakau Matu$a: Maturu tree!,0
Catch you later Personal Note: Don’t forget the groceries! Call me back Tama Rua Tekau: Twenty children! Crystal Quest: Find the gem! Rumba Lesson: Romantic steps!,0
Auction Night: Bid on items! Tama Waru: Eight children! Orchestra Tune: Strings section next.,0
Call to verify phone Account suspension notice,1
Spring Blossom: Flower show! Tama *Boy: Young male! Ngoubou Horn: Rhinw myth! Kapa Haka: Group derformance! Ramadan Greeting: Peace to all! Auction Night: Bid on items! Just checking in,0
slick for free @mopey,1
Urgent ID verification Click for free trip Win a mountain retreat Claim your cash prize,1
Fake transa@ction notice Fake login notice Click for free trip Win #a beachfront property Urgent phone verification Fake payment notihe,1
Salamander Fire: Burn bright! Kayaking Adventure: Paddle together! Folklore Show: Cultural display! Nice to meet you Belote Deal: French cards! Wyvern Sting: Poison tail!,0
Please call me Cinco de Mayo: Fiesta time! Yom Kippur: Day of atonement! Retirement Plan: Let’s discuss your options.,0
Tangaroa Whakamua: Fish return! Tihoi: Rest period! Tama Ono: Six children! Ice Skating: Rent skates here! Hello there,0
Verify credit card details,1
Call to verify phone,1
Opera Night: Grand performance! Weath#er is nice Flatwoods Monster: Alien fear!^ Desert Tour: Sandboarding fun! Maru War: Battle god! Ohua: Abunyance time!,0
Click for free gift,1
Sports Update: Game starts at 8 PM. Contemporary Dance: Emotional flow! Nice to meet you Tama Po: Night child! Tama Whenua: Land child! Tama Raki: Sky child!,0
Centaur Race: Gallop fast! Kaumatua Elder: Wise leader! Tama Rima Tekau Nui: Great fifty children! Rummy Hand: Draw a card! Korekore Whakapiri: Close calm! Wendigo Hunger: Cannibal spirit!,0
Korekore Piri Ki Rakaunui: Big fish! Tama Matakite: Seer child!,0
Whiro Night: Dark moon! Update: Your account login was successful. See you tomorrow Canfield Deal: Casino style!,0
Gardening Club: Plant seeds today. About our meeting Loch Ness: Lake monster! Ambulance ETA: 5 minutes! Tama Whenua: Land child!,0
Claim your jackpot prize Call to verify phone Call us immediately Security breach not#ice Win a beachfront cottage Urgent address check,1
Boxing Gym: Sparring tonight! Quick Che&ck: Aremyou free this afternoon? Coffee break Pet Grooming: Appokntment set! Tama Ahi: Fire child! Bachata Session: Smooth rhythm!,0
Tango Lesson: Partner up! Valse Criollo: Venezuelan waltz! Let's catch up Bans Practice: New song today. Puzzle Hunt: Find the clues! Baseball Try: Pit&ching drills! Zouk Dance: Flowing style!,0
Claim your cash! winnings Identity fraud alerl,1
Click for free reward Security breach detected Click for free reward Click for free money Verify credit history,1
What's up Pegasus Wing: Fly away! Whiro Night: Dark moon!,0
Car Rental: Pick up at 9 AM! Theater Play: Tickets available! Goblin Trap: Avoid the pit! Pukana Eye: Fierce look! Tech Support: Your issue is resolved. Martial Arts: Karate class!,0
Robotics Team: Meet after school. Ponaturi Wave: Sea demons! Tama Kotahi: One child again! Tama Tohunga: Expert child! Tama Kura: Red child! Hearts Game: Avoid points! Mere Pounamu: Greenstone club!,0
Fake transaction alert Urgent ID update Unauthorized access,1
Unclaimed funds Call to claim prize Phishing attempt detected,1
Fake! bank email Call to claim bonus,1
Matariki: Pleiades stars! See you soon Cerberus Guard: Three heads!,0
Claim your bonus,1
Verify driver license Win a mountais chalet Click to win cash Win a mountain estate Account lock alcrt,1
Accoxnt access blocked Call to verify phone,1
Security update now Sbcurity update deadline Claim your cash bonus Security breach warning Cl#ick for free reward Security check required Verify social security number,1
Rugby $Scrum: Team huddle!,0
Fire Alert: Evacuate now! Co$oking Class: Sign up for next week. Please call me Swing Dance: Jive tonight!,0
Win a tropical villa Verify phone plan Free gold coin Fake transaction alert Claim your cash bonus Verify social media Security update now,1
Free luxury car offer Free vacation offer Win a seaside mansion Call to verify email,1
I'm running late,0
Win a cruise Win a penthouse Free diamond earrings Win a private island Free diamond pendant,1
Click for free reward,1
Team Update: Meetong rescheduled@ *to 2 PM. Catch you later,0
Call to unlock funds,1
Identity frauc notice Fake bank update Click# for free gift card,1
Verify driver license Phishing linu ale%rt Security breach warning,1
Traffic Alert: Road closed! Folklore Show: Cultural display! Classical Recital: Piano solo! Tama Noa: Free child! Hip Hop Event: Breakdance battle! Tama Mano: Thousand children! Desert Tour: Sandboarding fun!,0
Clickofor free money Urgent ID verification Free diamond pendant Money back guarantee C^all to verify email Account fraud warn@ing Phony payment alert,1
Tama Whanui Nui: Great broad child!,0
Tama Tane: Male child!# Matariki: Pleiades stars! Tama Wairua: Spirit dhild! Circus Act: Acrobats tonight! Jersey Deail: Pine barrens! Tap Fusion: Jazz and tap! Game night,0
Verify credit card number,1
Security Alert: A suspicious login was detected. Please reset your password. Fourth of July: Fireworks show! Tihoi: Rest period! Tama Ao: Day child! Uno Deck: Color change! See you soon,0
Account access issue Win a beachside villa Free gold bracelet Identity theft warning,1
Treasure Hunt: Map is ready! Hiro: Fish season! Salamander Fire: Burn bright!,0
Urgent phone check Claim your urize winnings Click for free trvp,1
Tama Tinana: Body child! Maramataka: Lunar calendar! Golf Day: Te&e time 8 AM! Wyvern Sting: Poison tail! Square Dance: Callers needed!,0
Win a mountain lodge Win a beachside home Urgent email check Fake bank update Account suspension alert Call to claim prize Call co claim funds,1
Identity theft notice,1
Tama Uira: Lightning child!,0
Verify credit hist*ory Fake security email Win a beach&side home Phony account alert,1
Identity fraud alert Phony verification request Password reset required Free luxury car offer Call to verify address Security breach warning,1
Urgent emazl verification Claim your pr@ize money@ Security update now Claim your lottery cash,1
Secur*ity kheck now,1
Son Jarocho: Veracruz sound! Pesach Prep: Clean the house! Marae Visit: Sacred ground!,0
Win $a tropical paradise,1
Iwi Tribe: People group! Tama Whakaaro Nui: Great thought child! Forro Night: Brazilian flair! Tama Waru: Eight children! Tama Tahi: One child! Church Event: Sunday service!,0
You've won Security breach warning Cla$im your jackpot cash Urgent verification Phony ve@rificationzrequest Click for free gift card Click to avoid penalty,1
Call to unlock prize Urgent ID verification Claim your jackpot cash Phishing email detected Fake bank statement,1
Identity theft detected,1
Urgent ID check Fake bank update Claim your jackpot cash Account frozen Verify phone plan,1
Festival of Lights: Lanterns up! Cinco de Mayo: Fiesta time!,0
U*rgent ID verification Accountrlock warnin*g,1
Game Night: Bring your controller! Tama Rua Tekau: Twenty children! Waiata Song: Tribal hymn! Toy Drive: Gifts for kids!,0
Urgent phone verification Security uzdate required Click for bonus cash Identity check needed Security breach warning,1
Tama Piriona: Billion children! Shemini Atzeret: Final holiday! Taxi Service: Call now! Heitiki Pendant: Fertility charm!,0
Win a helicopter Account suspension warning Win a tropical chalet Call to verify phone,1
Account fraud warning Click for free trip Win a desert retreat Urgent address update,1
Fake payment notice Clucm your prize fund,1
Tama Whakahaere: Le$ader child! Tama Tekaq Nui: Great ten children! Treasure Map: X myrks the spot!,0
Call to verify identity Fake bank notice Urgent address check Phishing email detected Win a tropical paradise,1
Boxing Gym: Sparring tonight!,0
Vet Visit: Dog checkup! Tama Rangatira: Noble child! Papa Earth: Mother land! Rummy Hand: Draw a card! Basketball Game: Team meeting!,0
Kappa Water: River spirit! Forest Walk: Watch for wildlife!,0
Tax refund pending Fake security email Win a seaside chalet,1
Norteno Band: Accordion fun! Golf Card: Low score wins! Police Report: Incident logged! Football Tackle: Practice runs! Tama Po: Night child! Tama Raki: Sky child! Breakdance Jam: Frwestyle session!,0
Fake bank letter Win a forest cabin Win a desert retreat Claim your lottery winnings,1
Pet Care: Take the cat to the vet. Casual Talk: Let’s grab coffee later. Tukutuku: Wall panels! Bakers Dozen: Thirteen stacks! Skat Game: German style!,0
Free luxury car Win a beachside home Fake security notice Urgent email check Urgent ID update Fake login warning Win a beachside villa,1
Identity fraud detected Verify your card details Urgent phone check Call to claim prize Verify your account,1
Urgent phone number update Urgent passport update Urgent login verification Verify driver license Urgent address update Urgent phone verification,1
Ngeri Shout: Battle cry!,0
Security breach detected Frez luxury handbag Phishing link alert Immediate action needed Click for free money Update your information Fake security email,1
Win a seaside villa,1
Security check mandatory Identity theft notice Call to claim funds,1
yalentine’s Day: Love letters!,0
